0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,BAY,BIA,BOB,CAS,CLE,GRE,MDM,MHR,SFR,PER,RAC,RCT,TOU
SU Agen,,20-30,19-25,19-15,14-22,11-18,32-26,9-3,9-13,20-28,23-15,20-24,9-15,22-9
Aviron bayonnais,37-16,,6-6,22-11,22-12,6-13,31-24,39-13,32-26,24-11,13-10,18-25,33-28,6-35
Biarritz olympique,16-11,15-16,,25-22,15-9,32-28,33-16,35-10,27-8,52-17,15-3,11-23,9-36,22-17
Bordeaux Bègles,48-17,39-13,16-0,,13-16,24-28,28-29,40-7,15-23,30-22,26-22,15-22,41-0,32-34
Castres olympique,20-9,31-10,28-13,23-23,,16-13,30-13,44-17,26-20,44-13,38-36,31-10,25-20,16-18
ASM Clermont,66-21,48-3,19-12,67-3,37-10,,44-20,56-3,36-18,28-25,53-31,13-12,24-21,39-17
FC Grenoble,27-13,9-6,34-21,19-9,14-12,10-17,,52-7,9-16,26-12,28-23,27-13,25-24,15-6
Stade montois,16-28,33-36,18-19,12-17,15-31,6-14,32-14,,17-30,28-30,17-31,9-34,15-29,12-16
Montpellier HR,32-15,29-22,33-10,15-13,19-12,13-8,23-6,32-16,,54-16,50-22,15-17,25-32,10-8
Stade français,20-13,21-13,36-23,30-14,20-20,10-37,35-6,42-14,32-16,,34-24,19-16,11-43,28-24
USA Perpignan,39-13,18-13,33-28,26-16,20-21,26-19,20-18,15-6,30-19,32-16,,17-13,15-21,34-20
Racing Métro 92,40-6,15-10,13-12,18-7,29-28,12-6,23-3,16-17,12-16,23-15,23-19,,21-23,26-27
RC Toulon,43-21,59-0,50-15,42-12,33-12,26-26,39-3,15-9,51-6,24-19,46-13,15-19,,35-16
Stade toulousain,62-13,42-6,19-14,33-32,23-22,30-22,57-7,37-22,27-9,43-16,18-19,32-13,32-9,
