Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17
Agen,P,G,P,G,P,P,N,G,P,P,P,P,P,G,P,G,P
Bayonne,G,P,P,G,G,G,G,P,P,P,N,P,P,P,P,G,G
Bordeaux Bègles,G,G,G,G,N,P,G,P,G,G,G,G,G,P,G,G,G
Brive,P,P,G,P,G,G,P,G,P,G,N,P,P,G,P,P,G
Castres,G,P,P,P,G,G,P,P,G,P,G,P,P,P,G,G,P
Clermont,G,G,P,P,G,G,P,G,P,G,P,G,P,G,G,P,G
Lyon,G,G,G,G,G,G,G,P,G,P,P,G,G,G,P,G,P
Montpellier,P,G,G,P,N,P,P,G,N,G,P,N,G,P,G,P,P
Paris,P,P,G,P,P,P,G,P,P,P,G,N,G,P,G,P,P
Pau,G,P,G,G,P,P,P,G,G,P,P,P,P,P,P,P,G
Racing 92,P,G,P,P,P,G,N,P,G,P,G,G,G,G,G,P,G
La Rochelle,P,G,P,G,P,P,G,G,P,G,P,G,G,G,P,G,P
Toulon,G,P,P,G,P,G,P,G,N,G,G,N,G,P,G,P,G
Toulouse,P,P,G,P,G,P,G,P,G,G,G,N,P,G,P,G,P
